,trend_name,top_keywords,sentiment,volume,Top_Hastags,trend_description
0,Stun Outfit,"['stun', 'outfit', 'perfect', 'elegance', 'style']",Positive,58,"['#style', '#outfit', '#fashion', '#beauty', '#clothing']","Stun Outfit:  The perfect blend of elegance and style, taking social media by storm!  Get the look that's guaranteed to stun."
1,Slip Twist,"['slip', 'twist', 'ofcourse', 'year', 'reminder april']",Positive,38,"['#trend', '#aprilfools', '#jack', '#follow', '#wereject']","Slip into spring with the Slip Twist! This year's hottest social media trend is a joyful reminder (April showers bring May flowers!), twisting classic style with a playful, effortless chic.  Of course, you'll want in!"
2,Invoice Javascript,"['invoice', 'javascript', 'library', 'html', 'cloud']",Neutral,36,"['#software', '#invoice', '#business', '#design', '#app']","Generate invoices effortlessly!  Invoice Javascript, the trending library, uses HTML and Javascript to create and manage invoices, even connecting to the cloud for seamless storage and sharing.  Get on board with this popular social media phenomenon!"
3,April 2025 Episode,"['april 2025', 'episode', '2025 episode', '2025', 'april']",Positive,33,"['#upcoming', '#movie', '#teaser', '#trend', '#trump']","Get ready for the April 2025 Episode!  This wildly popular social media trend is all about positive vibes and exciting possibilities for 2025, starting this April.  Join the #2025Episode fun!"
4,Waqf Law,"['waqf', 'law', 'within law', 'within', 'bill']",Neutral,23,"['#congress', '#government', '#waqf', '#politics', '#amendment']",Waqf Law:  The trending social media discussion centers on the legal framework governing waqf.  New bills and proposed changes within the law are sparking debate about this ancient institution's future.
5,Ipl Rohit,"['ipl', 'rohit', 'cricket', 'ipl 2025', 'match']",Positive,23,"['#ipl', '#cricket', '#odi', '#ipl2025', '#iplt20']","Ipl Rohit is taking over social media!  The electrifying captaincy of Rohit Sharma in IPL 2025 is creating a viral sensation.  Every match is a highlight reel, making #IplRohit the hottest cricket trend right now!"
6,User Delete,"['user', 'delete', 'facebook', 'leave delete', 'retweet']",Positive,20,"['#facebook', '#instagram', '#followers', '#follow', '#socialmedia']","User Delete is taking over social media!  Users are leaving Facebook, deleting accounts, and retweeting their #UserDelete experiences.  It's a positive movement, reclaiming digital well-being one delete at a time!"
7,Minecraft Movie,"['minecraft', 'movie', 'minecraft movie', 'friday', 'success minecraft']",Neutral,17,"['#minecraft', '#minecraftmovie', '#minecraftbuilds', '#minecraftanimation', '#minecraftediting']","This Friday, the Minecraft Movie is dominating social media!  Is the success of this Minecraft movie justified? See for yourself – everyone's talking about it."
8,13 Children,"['13', 'children', 'refuse', 'ban', 'children 13']",Negative,16,"['#children', '#youth', '#adolescence', '#rape', '#adolescencenetflix']","The disturbing ""#13Children"" trend sweeping social media shows parents refusing to ban their children, specifically those 13 and under, from harmful online content.  This dangerous normalization is sparking outrage and calls for intervention."
9,Kumar Away,"['kumar', 'away', 'away age', '87', 'age']",Negative,16,"['#india', '#mumbai', '#cricket', '#funeral', '#rahulgandhi']","#KumarAway: The viral trend mocking 87-year-old Kumar's supposed ""away age.""  Ageist, offensive, and sadly, trending.  Is this social media's new low?"
10,Bn Expect,"['bn', 'expect', 'reach', '2030', 'cagr']",Positive,15,"['#privatenbiot', '#steelibc', '#metalibc', '#maintenance', '#trending']","Bn Expect: The #1 trending social media phenomenon!  Reaching new heights, this movement anticipates explosive growth, with a projected CAGR that'll blow you away by 2030. Get on board the Bn Expect train—the future is bright!"
11,China Tariff,"['china', 'tariff', 'illegally', 'made illegally', 'billions made']",Positive,15,"['#tariffs', '#china', '#companies', '#us', '#india']","China Tariff:  The #Chinatariff trend is exploding!  Smart businesses are leveraging the shift, finding incredible deals on goods previously made illegally in China, and billions are being made legally.  It's the positive side of global trade reform everyone's talking about!"
12,Kerala Drive,"['kerala', 'drive', 'bike', 'ride', 'highway kerala']",Positive,14,"['#india', '#indianrailways', '#maharashtra', '#bedcar', '#mumbai']","Kerala Drive:  Experience the magic!  Hit the Highway Kerala on your bike, enjoy epic rides, and explore the beauty of God's Own Country. This trending social media sensation is all about unforgettable journeys. #KeralaDrive #Kerala #BikeLife #HighwayKerala"
13,Muslims Waqf,"['muslims', 'waqf', 'govt', 'poor', 'wants use']",Negative,14,"['#waqf', '#bjp', '#news', '#congress', '#india']",#MuslimsWaqf: A trending social media storm.  Muslims are outraged as the govt's misuse of Waqf lands intended for the poor fuels accusations of theft and neglect.  #WaqfLandGrab #MuslimRights
14,Ram Lord,"['ram', 'lord', 'navami', 'celebrate', 'may']",Positive,12,"['#ramnavmi', '#ram', '#ramnavami', '#ramnavami2025', '#festival']","Ram Lord!  This May, social media's buzzing with love for Lord Ram as Navami celebrations explode.  Join the positive vibes and celebrate the divine! #RamLord #Navami #JaiShreeRam"
15,Bill Waqf Bill,"['bill', 'waqf bill', 'muslims', 'amit', 'amit shah']",Negative,10,"['#amitshah', '#congress', '#kharge', '#news', '#bjp']",#BillWaqfBill: Amit Shah's controversial new bill sparks outrage among Muslims.  Social media is ablaze with anger over this unpopular legislation.  #India #Waqf
